column,kind,missing_count,missing_pct
Soil_Moisture,continuous sensor block,18,0.017123287671232876
Temperature,continuous sensor block,24,0.0228310502283105
Humidity,continuous sensor block,30,0.028538812785388126
Light,continuous sensor block,36,0.03424657534246575
Soil_Low_SP,setpoint block,12,0.01141552511415525
Soil_High_SP,setpoint block,12,0.01141552511415525
Drip,binary actuator block,20,0.01902587519025875
Mist,binary actuator block,16,0.015220700152207002
Fan,binary actuator block,16,0.015220700152207002
Month,time-context block,10,0.009512937595129375
Season,categorical-context block,10,0.009512937595129375
