Timestamp,Temperature,Humidity,Light,Soil_Moisture,Drip,Mist,Fan
2026-04-09 11:30:04,30.3,38.5,706.6,53.2,0.0,0.0,0.0
2026-04-09 11:30:09,30.4,38.5,689.2,53.2,0.0,0.0,0.0
2026-04-09 11:30:14,30.4,38.4,703.3,53.2,0.0,0.0,0.0
2026-04-09 11:30:19,30.5,38.3,689.8,53.2,0.0,0.0,0.0
2026-04-09 11:30:24,30.3,38.4,709.1,53.2,0.0,0.0,0.0
2026-04-09 11:30:29,30.5,38.3,711.0,53.2,0.0,0.0,0.0
2026-04-09 11:30:34,30.4,38.2,707.0,53.2,0.0,0.0,0.0
2026-04-09 11:30:39,30.4,38.1,703.3,53.2,0.0,0.0,0.0
2026-04-09 11:30:44,30.3,38.0,699.5,53.2,0.0,0.0,0.0
2026-04-09 11:30:49,30.5,37.9,710.5,53.1,0.0,0.0,0.0
2026-04-09 11:30:54,30.6,38.1,702.5,53.1,0.0,0.0,0.0
2026-04-09 11:30:59,30.4,38.1,694.3,53.1,0.0,0.0,0.0
2026-04-09 11:31:04,30.5,38.0,701.8,53.1,0.0,1.0,0.0
2026-04-09 11:31:09,30.6,41.3,699.1,53.1,0.0,1.0,0.0
2026-04-09 11:31:14,30.4,44.3,703.6,53.1,0.0,1.0,0.0
2026-04-09 11:31:19,30.5,47.0,692.4,53.1,0.0,1.0,0.0
2026-04-09 11:31:24,30.4,49.5,703.7,53.2,0.0,1.0,0.0
2026-04-09 11:31:29,30.5,51.6,696.7,53.2,0.0,1.0,0.0
2026-04-09 11:31:34,30.4,53.7,709.3,53.2,0.0,1.0,0.0
2026-04-09 11:31:39,30.5,55.6,701.7,53.2,0.0,1.0,0.0
2026-04-09 11:31:44,30.3,57.2,703.0,53.2,0.0,1.0,0.0
2026-04-09 11:31:49,30.4,58.8,721.1,53.2,0.0,1.0,0.0
2026-04-09 11:31:54,30.6,60.2,713.0,53.1,0.0,1.0,0.0
2026-04-09 11:31:59,30.6,61.5,711.3,53.1,0.0,1.0,0.0
2026-04-09 11:32:04,30.5,62.6,716.0,53.1,0.0,1.0,0.0
2026-04-09 11:32:09,30.4,63.6,703.0,53.1,0.0,1.0,0.0
2026-04-09 11:32:14,30.4,64.6,714.8,53.1,0.0,1.0,0.0
2026-04-09 11:32:19,30.4,65.5,707.7,53.1,0.0,1.0,0.0
2026-04-09 11:32:24,30.3,66.3,710.8,53.1,0.0,1.0,0.0
2026-04-09 11:32:29,30.4,67.1,710.1,53.2,0.0,1.0,0.0
2026-04-09 11:32:34,30.5,67.6,702.7,53.2,0.0,1.0,0.0
2026-04-09 11:32:39,30.5,68.2,718.7,53.2,0.0,1.0,0.0
2026-04-09 11:32:44,30.5,68.8,705.6,53.2,0.0,1.0,0.0
2026-04-09 11:32:49,30.4,69.3,701.6,53.2,0.0,1.0,0.0
2026-04-09 11:32:54,30.5,69.7,690.9,53.2,0.0,1.0,0.0
2026-04-09 11:32:59,30.4,70.1,699.7,53.2,0.0,1.0,0.0
2026-04-09 11:33:04,30.6,70.5,702.7,53.2,0.0,1.0,0.0
2026-04-09 11:33:09,30.4,70.7,666.1,53.2,0.0,1.0,0.0
2026-04-09 11:33:14,30.4,71.0,695.7,53.2,0.0,1.0,0.0
2026-04-09 11:33:19,30.4,71.2,717.7,53.2,0.0,1.0,0.0
2026-04-09 11:33:24,30.6,71.7,702.6,53.1,0.0,1.0,0.0
2026-04-09 11:33:29,30.4,71.8,705.5,53.1,0.0,1.0,0.0
2026-04-09 11:33:34,30.5,72.0,716.0,53.2,0.0,0.0,0.0
2026-04-09 11:33:39,30.5,70.8,705.3,53.2,0.0,0.0,0.0
2026-04-09 11:33:44,30.5,69.7,703.2,53.2,0.0,0.0,0.0
2026-04-09 11:33:49,30.4,68.5,694.4,53.2,0.0,0.0,0.0
2026-04-09 11:33:54,30.4,67.4,706.0,53.2,0.0,0.0,0.0
2026-04-09 11:33:59,30.5,66.5,704.3,53.2,0.0,0.0,0.0
2026-04-09 11:34:04,30.4,65.5,702.4,53.2,0.0,0.0,0.0
2026-04-09 11:34:09,30.5,64.5,712.2,53.1,0.0,0.0,0.0
2026-04-09 11:34:14,30.4,63.5,697.6,53.1,0.0,0.0,0.0
2026-04-09 11:34:19,30.5,62.6,698.7,53.2,0.0,0.0,0.0
2026-04-09 11:34:24,30.4,61.8,713.1,53.2,0.0,0.0,0.0
2026-04-09 11:34:29,30.6,61.0,694.8,53.2,0.0,0.0,0.0
2026-04-09 11:34:34,30.4,60.2,708.7,53.2,0.0,0.0,0.0
2026-04-09 11:34:39,30.4,59.4,694.2,53.2,0.0,0.0,0.0
2026-04-09 11:34:44,30.4,58.6,702.2,53.2,0.0,0.0,0.0
2026-04-09 11:34:49,30.5,57.8,712.5,53.2,0.0,0.0,0.0
2026-04-09 11:34:54,30.5,57.1,710.2,53.2,0.0,0.0,0.0
2026-04-09 11:34:59,30.5,56.4,717.1,53.2,0.0,0.0,0.0
2026-04-09 11:35:04,30.5,55.8,695.4,53.2,0.0,0.0,0.0
2026-04-09 11:35:09,30.6,55.2,692.5,53.2,0.0,0.0,0.0
2026-04-09 11:35:14,30.4,54.6,689.5,53.2,0.0,0.0,0.0
2026-04-09 11:35:19,30.4,54.0,703.0,53.2,0.0,0.0,0.0
2026-04-09 11:35:24,30.4,53.3,708.5,53.2,0.0,0.0,0.0
2026-04-09 11:35:29,30.5,52.8,702.4,53.2,0.0,0.0,0.0
2026-04-09 11:35:34,30.4,52.3,698.8,53.2,0.0,0.0,0.0
2026-04-09 11:35:39,30.4,51.7,716.2,53.2,0.0,0.0,0.0
2026-04-09 11:35:44,30.4,51.3,705.9,53.2,0.0,0.0,0.0
2026-04-09 11:35:49,30.5,50.8,712.2,53.2,0.0,0.0,0.0
2026-04-09 11:35:54,30.5,50.4,694.4,53.2,0.0,0.0,0.0
2026-04-09 11:35:59,30.6,50.0,701.0,53.2,0.0,0.0,0.0
2026-04-09 11:36:04,30.4,49.6,718.8,53.2,0.0,0.0,0.0
2026-04-09 11:36:09,30.4,49.0,707.6,53.2,0.0,0.0,0.0
2026-04-09 11:36:14,30.4,48.6,708.5,53.2,0.0,0.0,0.0
2026-04-09 11:36:19,30.3,48.3,690.7,53.2,0.0,0.0,0.0
2026-04-09 11:36:24,30.5,47.9,713.9,53.2,0.0,0.0,0.0
2026-04-09 11:36:29,30.5,47.5,695.7,53.2,0.0,0.0,0.0
2026-04-09 11:36:34,30.5,47.1,709.9,53.2,0.0,0.0,0.0
2026-04-09 11:36:39,30.6,46.9,701.6,53.2,0.0,0.0,0.0
2026-04-09 11:36:44,30.4,46.6,707.4,53.2,0.0,0.0,0.0
2026-04-09 11:36:49,30.4,46.3,705.5,53.2,0.0,0.0,0.0
2026-04-09 11:36:54,30.6,46.1,719.0,53.2,0.0,0.0,0.0
2026-04-09 11:36:59,30.6,45.7,712.9,53.2,0.0,0.0,0.0
2026-04-09 11:37:04,30.3,45.5,702.2,53.2,0.0,0.0,0.0
2026-04-09 11:37:09,30.7,45.2,708.9,53.2,0.0,0.0,0.0
2026-04-09 11:37:14,30.7,45.0,713.5,53.2,0.0,0.0,0.0
2026-04-09 11:37:19,30.3,44.8,704.1,53.2,0.0,0.0,0.0
2026-04-09 11:37:24,30.5,44.7,708.0,53.2,0.0,0.0,0.0
2026-04-09 11:37:29,30.7,44.3,691.9,53.2,0.0,0.0,0.0
2026-04-09 11:37:34,30.4,44.2,706.8,53.2,0.0,0.0,0.0
2026-04-09 11:37:39,30.5,43.9,709.0,53.2,0.0,0.0,0.0
2026-04-09 11:37:44,30.3,43.7,705.4,53.2,0.0,0.0,0.0
2026-04-09 11:37:49,30.5,43.5,719.0,53.2,0.0,0.0,0.0
2026-04-09 11:37:54,30.4,43.2,699.7,53.2,0.0,0.0,0.0
2026-04-09 11:37:59,30.4,43.1,704.2,53.2,0.0,0.0,0.0
2026-04-09 11:38:04,30.5,42.8,712.5,53.2,0.0,0.0,0.0
2026-04-09 11:38:09,30.5,42.6,713.4,53.2,0.0,0.0,0.0
2026-04-09 11:38:14,30.4,42.5,702.4,53.2,0.0,0.0,0.0
2026-04-09 11:38:19,30.6,42.2,714.9,53.2,0.0,0.0,0.0
2026-04-09 11:38:24,30.4,42.1,707.1,53.2,0.0,0.0,0.0
2026-04-09 11:38:29,30.6,42.0,711.6,53.2,0.0,0.0,0.0
