Timestamp,Month,Season,Soil_Moisture,Outside_Temp,Outside_Humidity,Outside_Light,Drip,Mist,Fan
2025-01-01 00:00:00,1,winter,58.0,28.755779264727817,69.13643824947543,4.54351677097076,0.0,0.0,0.0
2025-01-01 00:05:00,1,winter,58.0,27.83489116664718,67.4452301261572,15.379219144378851,0.0,0.0,0.0
2025-01-01 00:10:00,1,winter,55.643284521549326,28.793711413769238,68.61367440064514,0.0,0.0,0.0,0.0
2025-01-01 00:15:00,1,winter,53.34907647054766,28.79101998802389,69.7177694409473,14.20779424854253,0.0,0.0,0.0
2025-01-01 00:20:00,1,winter,51.227947890590876,26.938037474127054,70.20018274957599,0.0,0.0,0.0,0.0
2025-01-01 00:25:00,1,winter,49.35178465754371,27.208121451910188,67.85681991870896,0.0,0.0,0.0,0.0
2025-01-01 00:30:00,1,winter,47.46140333953241,27.945753852966067,68.75889206801699,0.0,0.0,0.0,0.0
2025-01-01 00:35:00,1,winter,45.73207575712252,27.557831691171216,70.64840060120298,6.82825433729116,0.0,0.0,0.0
2025-01-01 00:40:00,1,winter,43.89336893585819,27.614989182326596,68.68108463216375,18.63956681961715,0.0,0.0,0.0
2025-01-01 00:45:00,1,winter,42.2181111613866,26.98975945214998,70.6238699436133,4.59086797544159,0.0,0.0,0.0
2025-01-01 00:50:00,1,winter,40.645091062241455,27.90482259881849,70.2224682460437,0.0,0.0,0.0,0.0
2025-01-01 00:55:00,1,winter,39.057163180377316,27.718598262318483,70.23219158840423,6.641118944627395,0.0,0.0,0.0
2025-01-01 01:00:00,1,winter,37.547634937886954,27.16548170602701,68.30292590179776,0.0,0.0,0.0,0.0
2025-01-01 01:05:00,1,winter,36.19454642260566,27.675409095013013,71.92587874472878,0.0,0.0,0.0,0.0
2025-01-01 01:10:00,1,winter,34.79522211266916,27.152092305855,70.33432406287186,0.0,0.0,0.0,0.0
2025-01-01 01:15:00,1,winter,33.30637372093701,26.227915471241985,70.68929031792692,0.0,0.0,0.0,0.0
2025-01-01 01:20:00,1,winter,32.090315846302666,26.836088553326242,71.98224182729223,41.110074749682155,0.0,0.0,0.0
2025-01-01 01:25:00,1,winter,30.917793915917013,25.91035977351726,71.72051604390454,0.0,0.0,0.0,0.0
2025-01-01 01:30:00,1,winter,29.80551989999383,26.88317635097983,71.93126412980627,29.359600600960064,0.0,0.0,0.0
2025-01-01 01:35:00,1,winter,28.71843930478767,26.19619471939519,71.99949980590836,16.91702928761327,0.0,0.0,0.0
2025-01-01 01:40:00,1,winter,27.674298741156147,25.98496605523395,71.80765227141111,11.85711702460192,0.0,0.0,0.0
2025-01-01 01:45:00,1,winter,26.748937351571286,25.55681006561365,71.95957148432488,16.880344779658657,0.0,0.0,0.0
2025-01-01 01:50:00,1,winter,25.987597116367432,26.56819014427159,73.39329811211365,19.18449902388628,0.0,0.0,0.0
2025-01-01 01:55:00,1,winter,25.05495602477929,25.611120637841243,72.07343199028826,33.3118559809611,0.0,0.0,0.0
2025-01-01 02:00:00,1,winter,24.33045441620715,25.315952323577292,72.58367228391364,0.0,0.0,0.0,0.0
2025-01-01 02:05:00,1,winter,23.61643988747658,25.230779576374854,73.50366941226412,0.0,0.0,0.0,0.0
